# Freq	Snu	dSnu
# GHz	uJy	uJy
3.61280e+01	-512.3	184.0
3.61310e+01	-229.4	184.0
3.61340e+01	295.6	184.0
3.61370e+01	-149.7	184.0
3.61400e+01	20.2	184.0
3.61430e+01	695.8	184.0
3.61460e+01	-38.1	183.0
3.61490e+01	-195.2	182.0
3.61520e+01	-145.5	182.0
3.61550e+01	22.4	182.0
3.61580e+01	507.0	182.0
3.61610e+01	283.6	183.0
3.61640e+01	-162.1	182.0
3.61670e+01	-229.8	182.0
3.61700e+01	35.3	182.0
3.61730e+01	-114.0	182.0
3.61760e+01	-42.2	181.0
3.61790e+01	-208.8	181.0
3.61820e+01	120.2	182.0
3.61850e+01	124.3	181.0
3.61880e+01	79.6	181.0
3.61910e+01	-104.9	181.0
3.61940e+01	-151.0	180.0
3.61970e+01	-157.8	180.0
3.62000e+01	161.1	180.0
3.62030e+01	56.5	180.0
3.62060e+01	-345.6	179.0
3.62090e+01	199.1	181.0
3.62120e+01	2.2	186.0
3.62150e+01	-39.9	217.0
3.62180e+01	657.5	308.0
3.62210e+01	-100.9	239.0
3.62240e+01	236.8	190.0
3.62270e+01	-43.0	179.0
3.62300e+01	-138.5	177.0
3.62330e+01	296.5	177.0
3.62360e+01	128.1	177.0
3.62390e+01	-228.9	177.0
3.62420e+01	335.2	177.0
3.62450e+01	212.3	177.0
3.62480e+01	68.2	177.0
3.62510e+01	-180.2	177.0
3.62540e+01	-18.5	177.0
3.62570e+01	55.9	176.0
3.62600e+01	-94.7	176.0
3.62630e+01	27.7	176.0
3.62660e+01	192.7	176.0
3.62690e+01	-109.8	176.0
3.62720e+01	-13.4	176.0
3.62750e+01	298.6	176.0
3.62780e+01	-110.8	176.0
3.62810e+01	-106.2	176.0
3.62840e+01	57.1	176.0
3.62870e+01	178.2	176.0
3.62900e+01	184.3	175.0
3.62930e+01	-268.5	176.0
3.62960e+01	-278.6	176.0
3.62990e+01	172.9	176.0
3.63020e+01	440.4	176.0
3.63050e+01	43.4	176.0
3.63080e+01	65.7	177.0
3.63110e+01	559.4	177.0
3.63140e+01	10.0	177.0
3.63170e+01	-210.0	177.0
3.63200e+01	128.0	177.0
3.63230e+01	-359.9	178.0
3.63260e+01	-52.9	179.0
3.63290e+01	261.2	182.0
3.63320e+01	25.5	189.0
